Number,Descriptor-0,Descriptor-1,Descriptor-2,Descriptor-3,Descriptor-4,Descriptor-5,Descriptor-6,Descriptor-7,Descriptor-8,Descriptor-9,Descriptor-10,Descriptor-11,Descriptor-12,Descriptor-13,Descriptor-14,Descriptor-15,Descriptor-16,Descriptor-17,Descriptor-18,Descriptor-19,Descriptor-20,Descriptor-21,Descriptor-22,Descriptor-23,Descriptor-24,Descriptor-25,Descriptor-26,Descriptor-27,Descriptor-28,Descriptor-29,Descriptor-30,Descriptor-31,Descriptor-32,Descriptor-33,Descriptor-34,Descriptor-35,Descriptor-36,Descriptor-37,Descriptor-38,Descriptor-39,Descriptor-40,Descriptor-41,Descriptor-42,Descriptor-43,Descriptor-44,Descriptor-45,Descriptor-46,Descriptor-47,Descriptor-48,Descriptor-49,Descriptor-50,Descriptor-51,Descriptor-52,Descriptor-53,Descriptor-54,Descriptor-55,Descriptor-56,Descriptor-57,Descriptor-58,Descriptor-59,Descriptor-60,Descriptor-61,Descriptor-62,Descriptor-63,Descriptor-64,Descriptor-65,Descriptor-66,Descriptor-67,Descriptor-68,Descriptor-69,Descriptor-70,Descriptor-71,Descriptor-72,Descriptor-73,Descriptor-74,Descriptor-75,Descriptor-76,Descriptor-77,Descriptor-78,Descriptor-79,Descriptor-80,Descriptor-81,Descriptor-82,Descriptor-83,Descriptor-84,Descriptor-85,Descriptor-86,Descriptor-87,Descriptor-88,Descriptor-89,Descriptor-90,Descriptor-91,Descriptor-92,Descriptor-93,Descriptor-94,Descriptor-95,Descriptor-96,Descriptor-97,Descriptor-98,Descriptor-99,Descriptor-100,Descriptor-101,Descriptor-102,Descriptor-103,Descriptor-104,Descriptor-105,Descriptor-106,Descriptor-107,Descriptor-108,Descriptor-109,Descriptor-110,Descriptor-111,Descriptor-112,Descriptor-113,Descriptor-114,Descriptor-115,Descriptor-116,Descriptor-117,Descriptor-118,Descriptor-119,Descriptor-120,Descriptor-121,Descriptor-122,Descriptor-123,Descriptor-124,Descriptor-125,Descriptor-126,Descriptor-127
1881,24,29,6,4,5,0,0,4,20,57,121,54,21,4,6,8,60,29,61,59,23,4,2,17,27,8,2,21,58,2,1,9,22,5,2,5,39,14,4,20,47,30,81,85,139,41,3,5,139,70,47,22,21,9,5,47,25,4,2,21,122,12,4,16,54,7,1,1,23,29,9,37,34,2,0,3,139,139,52,36,139,42,7,8,14,31,49,80,20,16,9,35,110,1,0,1,57,31,23,17,9,6,4,26,36,5,15,31,41,45,42,49,32,5,2,2,14,83,90,61,3,3,3,14,49,37,3,1
1882,81,13,0,0,0,0,0,2,196,59,0,0,0,0,0,2,88,23,4,2,0,0,0,1,1,5,6,1,0,0,0,0,107,3,0,0,0,0,0,22,196,11,0,0,0,0,0,47,128,6,1,2,3,0,0,15,4,4,2,2,1,0,0,1,112,10,0,0,0,0,0,11,196,71,0,0,0,0,0,15,120,20,1,1,2,1,4,6,1,2,1,1,1,1,2,3,72,7,0,0,0,0,0,8,196,60,0,0,0,0,0,8,128,35,2,1,0,0,0,2,1,1,1,1,0,1,1,2
1883,66,7,0,1,1,0,0,6,202,11,0,0,0,0,0,19,119,0,1,2,2,0,0,20,1,1,1,1,6,4,0,1,76,8,1,0,0,0,0,4,202,10,0,0,0,0,0,18,146,5,2,3,3,0,0,7,2,2,1,2,4,3,1,3,88,8,0,0,0,0,0,18,202,3,0,0,0,0,0,51,119,12,5,2,0,0,0,5,2,8,7,2,1,0,0,0,92,1,0,0,0,0,0,47,202,0,0,0,0,0,0,113,51,3,1,2,2,0,0,17,3,4,2,1,0,0,0,1
1884,1,0,0,2,140,45,0,1,101,1,0,3,81,6,1,39,44,1,1,2,4,10,10,30,0,1,4,35,62,4,0,0,4,1,0,43,140,12,0,1,140,23,3,12,107,5,3,55,42,9,7,49,36,21,12,31,1,0,1,35,75,28,11,6,2,2,2,138,140,0,0,0,74,140,35,41,62,0,0,2,32,69,62,66,7,0,0,6,21,8,9,19,3,7,10,36,1,0,1,140,140,0,0,1,51,34,10,35,18,0,0,38,55,35,20,4,1,0,0,21,7,21,60,5,0,0,0,3
1885,15,9,0,1,104,118,2,4,133,102,1,0,6,18,5,40,37,74,6,0,0,1,14,22,9,32,9,2,1,3,13,6,7,0,0,4,108,87,7,11,133,5,0,0,15,29,34,133,39,8,0,0,0,60,133,95,3,10,10,6,8,72,38,2,14,0,0,0,99,43,1,3,133,33,0,0,25,10,4,39,111,28,2,15,15,47,30,17,0,0,0,25,49,91,12,0,7,0,0,0,75,27,1,4,133,8,0,0,18,9,1,30,92,14,3,27,23,0,0,4,0,0,0,52,53,0,0,0
1886,2,2,2,101,46,0,0,0,109,3,1,20,9,0,0,13,181,2,0,0,0,0,0,54,46,0,0,0,1,2,1,17,7,1,1,69,34,0,0,0,160,10,0,3,1,0,0,3,181,7,0,0,0,0,0,13,53,2,0,1,1,1,0,5,9,9,5,24,7,0,0,0,166,8,0,0,0,0,0,19,181,4,0,0,0,0,0,32,44,11,3,0,0,0,0,1,21,5,3,3,0,0,0,5,153,1,0,0,0,0,0,56,181,1,0,0,0,0,0,79,20,4,1,0,0,0,0,4
1887,0,1,44,92,5,2,7,3,5,3,45,111,5,1,9,22,17,2,14,29,1,0,38,62,28,5,1,0,0,2,16,30,56,43,126,116,1,1,1,5,126,49,39,22,0,1,31,126,16,8,18,15,9,33,126,90,1,1,3,6,14,36,35,8,86,19,28,13,1,13,126,90,126,102,39,1,0,0,31,78,14,53,126,27,6,6,14,9,1,15,51,16,11,7,2,1,2,2,1,0,0,7,126,27,8,6,4,0,0,4,118,36,2,9,14,3,3,6,64,8,1,7,16,14,11,5,11,4
1888,27,2,2,37,32,4,18,132,31,11,51,44,6,2,3,37,15,29,91,22,8,1,0,3,7,4,5,10,25,23,11,5,45,31,38,60,23,8,18,66,20,14,39,132,99,30,5,3,132,59,50,41,11,5,1,30,36,3,2,42,45,5,4,22,56,69,38,16,5,7,9,23,34,10,16,57,132,117,16,17,132,17,4,22,40,24,2,34,36,7,6,113,66,0,0,3,16,87,45,9,1,0,0,2,40,24,37,117,51,3,0,6,132,18,4,34,32,1,0,36,8,2,4,73,61,3,0,1
1889,44,39,1,0,0,0,0,5,83,30,14,27,60,4,1,28,174,21,8,25,62,2,0,45,95,39,27,3,0,0,0,15,36,62,5,1,1,1,0,1,62,63,91,82,38,13,1,3,174,29,25,33,15,2,0,36,83,8,6,7,0,0,0,7,92,13,0,0,1,3,2,9,94,4,5,11,75,99,9,26,174,7,2,2,14,19,3,44,64,2,2,8,5,0,0,5,90,12,1,0,0,0,0,4,80,22,8,36,56,27,3,11,174,26,1,8,16,7,1,22,42,1,0,3,11,4,0,3
1890,1,1,0,21,137,1,0,0,12,0,0,9,137,12,6,62,18,0,0,1,14,18,10,82,0,0,0,7,28,11,0,1,1,1,0,89,137,0,0,0,84,5,1,38,137,7,8,89,21,1,0,12,84,38,14,49,0,0,0,19,61,6,0,0,7,4,2,137,137,0,0,0,137,46,7,56,62,0,0,7,27,11,4,61,103,2,1,3,0,0,0,19,57,0,0,0,8,3,0,88,137,5,8,5,115,42,3,17,31,3,15,19,13,11,3,30,57,1,0,1,0,0,0,11,34,3,0,0
1891,0,0,3,4,2,13,61,2,117,14,5,1,0,2,30,42,146,22,0,0,0,0,0,14,16,1,0,0,2,1,0,0,0,1,112,37,2,4,13,4,91,77,90,7,0,0,11,19,146,101,3,0,0,0,0,18,30,2,0,0,5,1,0,1,0,1,31,5,0,0,146,43,61,10,15,0,0,0,146,146,146,9,0,0,0,0,8,143,28,1,0,1,3,1,0,2,0,0,0,0,0,0,69,12,59,0,0,0,0,0,44,45,146,0,0,0,0,0,1,39,14,0,0,1,0,1,0,2
1892,2,6,18,3,2,0,0,0,111,21,3,0,0,0,0,14,187,12,0,0,0,0,0,30,43,1,0,2,2,0,0,4,3,42,41,0,0,0,0,0,124,87,14,0,0,0,0,1,187,56,0,0,0,0,0,6,57,2,0,2,6,0,0,1,28,15,3,0,0,0,0,6,187,15,1,0,0,0,0,19,187,6,0,0,0,0,0,35,52,2,1,7,4,0,0,2,25,1,0,0,0,0,0,11,173,1,0,0,0,0,0,18,187,3,0,0,0,0,0,19,31,1,1,3,1,1,0,2
1893,6,1,1,139,139,0,0,0,139,5,3,44,19,0,0,41,135,12,11,27,5,1,0,26,0,1,3,71,60,2,0,0,33,4,1,139,139,0,0,1,139,11,2,11,6,0,0,36,85,10,10,66,7,0,0,11,0,0,2,69,58,0,0,0,41,1,0,79,108,5,9,14,139,46,1,3,1,0,3,23,46,32,6,43,29,6,0,1,0,0,3,50,36,4,0,0,5,0,0,6,22,17,136,54,64,15,0,0,1,18,66,60,20,39,7,5,19,6,1,3,0,1,2,16,46,8,0,0
1894,17,1,2,56,34,3,7,53,4,0,1,114,95,4,8,45,11,0,0,9,19,11,21,113,1,0,4,26,28,10,2,11,8,2,1,114,114,4,6,12,114,12,3,64,41,2,20,114,16,3,4,6,15,93,68,72,0,0,0,3,34,104,10,1,18,4,1,114,114,6,8,13,114,65,15,18,21,2,15,72,22,25,65,32,17,26,28,12,0,0,15,46,47,49,9,1,1,0,0,19,42,34,76,44,26,4,1,0,2,2,55,114,13,6,13,13,7,18,96,41,0,0,7,55,113,54,31,4
1895,39,11,37,46,10,2,8,62,28,44,107,33,9,1,0,5,12,8,7,23,41,36,12,4,0,0,2,45,37,11,13,4,13,15,30,126,107,36,6,12,130,66,47,51,36,15,1,23,69,8,3,117,71,5,1,14,1,1,4,130,32,1,0,1,23,46,43,71,84,42,3,5,130,19,8,50,54,20,2,33,44,10,9,130,77,0,0,2,17,3,11,88,8,0,1,12,29,40,36,93,20,0,1,3,130,69,14,42,20,1,0,8,9,5,3,52,78,17,10,7,15,1,2,9,5,5,23,78
1896,5,42,72,0,0,0,0,1,37,107,115,2,3,1,0,15,24,86,133,38,25,1,0,4,78,133,97,3,1,0,0,3,23,38,1,0,0,0,0,1,114,30,4,6,17,3,1,32,89,8,5,33,126,6,1,20,133,20,3,2,5,0,0,34,16,48,2,0,0,0,0,0,45,76,49,34,10,1,0,1,133,35,61,81,36,1,0,10,133,10,1,1,1,0,0,21,34,24,1,0,0,0,0,1,27,6,9,12,28,34,4,7,133,17,13,15,28,33,2,10,133,6,0,0,0,0,0,4
1897,0,1,0,1,131,40,0,0,28,56,4,5,105,28,11,17,14,24,3,4,31,15,6,9,0,0,0,0,15,33,5,0,1,0,0,1,131,43,2,1,39,2,0,1,113,48,55,90,10,2,0,0,37,86,41,31,0,0,0,0,10,48,5,0,2,0,0,1,131,17,2,1,123,14,1,5,112,11,4,20,22,6,1,20,110,35,4,5,0,0,0,1,20,37,4,0,0,0,0,0,84,131,83,1,30,3,0,2,36,72,131,47,6,2,0,8,33,84,131,8,0,0,0,1,5,34,131,1
1898,109,20,8,22,27,8,3,21,77,75,16,12,14,5,3,29,56,122,122,52,1,1,5,26,4,2,73,101,6,5,30,23,61,2,9,26,60,26,16,51,28,96,103,28,29,25,14,14,122,122,27,0,0,1,4,23,27,3,0,0,13,7,10,20,2,0,0,7,108,103,49,15,27,12,11,4,23,122,122,19,122,30,3,0,4,34,18,39,40,6,5,11,13,2,4,17,5,0,0,20,66,10,20,21,7,0,0,1,51,69,37,24,121,6,1,0,26,34,10,63,19,6,5,9,3,14,8,10
1899,10,30,4,0,0,0,0,0,64,58,2,0,0,0,0,1,188,18,0,0,0,0,0,14,63,0,0,0,0,0,0,5,1,29,57,2,0,0,0,0,74,107,30,0,0,0,0,0,188,40,1,0,0,0,0,13,63,0,0,0,0,0,0,3,3,25,50,3,0,0,0,0,152,74,9,0,0,0,0,2,188,12,0,0,0,0,0,26,43,0,0,0,0,0,0,3,1,43,102,0,0,0,0,0,151,93,28,0,0,0,0,2,188,19,0,0,0,0,0,13,21,0,0,0,0,0,0,1
1900,0,2,6,11,2,0,0,0,2,15,29,35,6,2,0,0,36,74,17,7,15,98,16,4,3,8,5,1,92,140,8,1,3,14,15,30,7,0,0,0,6,17,32,140,30,0,0,0,121,140,37,33,6,4,0,5,29,36,8,4,35,140,16,1,5,7,38,140,7,1,2,1,61,14,31,140,22,0,0,3,140,48,11,13,0,0,0,22,45,21,22,15,1,3,1,6,1,2,43,140,1,0,3,6,90,14,19,37,0,0,3,8,140,71,1,0,0,0,0,2,50,21,4,2,3,2,2,29
1901,0,0,0,2,7,109,43,2,67,0,0,4,9,69,10,35,139,3,0,1,1,3,3,76,16,3,2,6,2,7,14,16,1,0,0,0,8,139,65,4,70,2,0,0,22,139,28,19,139,27,0,0,1,11,8,30,31,6,0,0,0,2,12,15,13,1,0,0,11,54,23,24,12,1,1,0,28,139,90,20,117,9,0,0,1,41,93,62,43,7,0,0,0,1,6,20,5,9,119,46,1,7,7,9,3,79,139,8,1,29,51,6,4,34,131,14,5,47,79,12,5,24,53,4,1,5,15,20
1902,6,81,17,0,0,0,0,2,7,158,126,0,0,0,3,6,1,141,158,2,0,4,5,1,0,8,158,25,1,4,6,0,30,5,2,1,0,0,0,11,78,19,9,0,0,8,52,104,5,12,67,3,1,105,118,17,0,1,91,6,1,63,53,1,64,7,1,2,1,0,0,3,158,46,2,0,0,2,10,30,23,24,15,9,8,67,41,7,0,0,2,3,5,81,73,2,42,7,0,0,1,1,0,1,139,57,1,0,0,0,0,0,22,32,17,4,1,0,0,0,0,1,8,3,1,2,3,0
1903,13,4,0,0,93,120,0,2,143,19,0,0,3,4,1,27,29,3,0,0,5,12,6,16,0,0,1,12,9,4,0,0,12,0,0,0,145,145,1,3,145,21,5,2,19,14,1,35,35,8,22,61,20,12,4,15,0,0,26,111,10,2,0,0,3,4,1,61,145,42,0,0,50,79,73,22,45,4,0,2,7,22,145,117,1,0,0,0,0,0,59,97,0,0,0,0,1,5,5,129,145,0,0,0,0,3,23,25,28,1,0,0,0,1,31,16,1,1,1,0,0,0,6,9,1,2,4,1
1904,57,1,0,1,1,4,2,12,193,2,0,0,0,0,1,59,59,1,0,0,0,2,24,40,0,0,0,1,4,11,17,5,84,6,1,2,1,1,0,2,193,13,0,0,0,0,3,49,82,0,0,0,0,21,55,50,0,0,0,0,12,61,16,1,80,2,0,0,4,5,1,3,193,14,0,0,0,0,1,17,153,2,0,0,12,28,25,27,0,0,0,5,48,42,7,0,47,0,0,0,7,12,6,16,193,8,0,0,0,0,0,20,162,8,1,4,18,31,5,15,0,0,1,26,66,27,0,0
1905,86,34,0,0,1,7,10,9,157,117,0,2,19,5,0,3,24,8,0,3,90,48,8,1,0,0,2,3,22,30,12,3,66,3,0,0,18,50,10,30,157,25,0,0,13,7,1,60,64,4,0,5,132,38,1,9,0,0,0,4,48,24,1,0,42,3,0,0,40,94,18,26,157,119,1,2,7,2,3,28,60,55,4,8,134,18,0,1,2,4,3,3,36,19,3,3,6,1,0,0,63,100,6,3,127,86,0,0,3,8,5,6,97,81,1,2,53,24,3,2,7,3,2,1,22,22,21,23
1906,23,2,5,26,134,98,9,7,137,33,2,3,22,14,2,12,50,22,8,79,65,0,0,1,0,0,8,59,44,0,0,0,28,5,24,104,108,2,0,2,137,18,2,14,25,3,1,42,46,7,3,56,137,9,2,15,0,0,6,37,46,15,2,0,38,22,8,85,100,0,0,1,137,117,17,20,10,0,0,7,22,27,21,53,89,11,0,2,0,0,0,3,35,27,4,2,35,26,6,67,133,1,0,1,137,84,5,7,4,0,1,8,31,8,4,4,10,20,16,14,1,0,0,1,14,28,14,10
1907,18,2,85,119,64,9,1,16,142,0,1,6,14,4,3,142,82,2,2,1,1,0,1,142,4,4,4,3,1,1,1,8,49,2,13,6,6,18,20,59,142,46,7,0,0,0,3,63,98,51,67,3,0,0,0,14,0,5,68,11,0,0,0,0,10,1,0,0,7,36,96,24,85,125,48,0,8,18,16,18,25,107,142,0,0,2,19,26,0,16,142,2,0,10,38,2,1,1,11,4,22,18,11,2,15,6,4,1,18,17,9,23,78,47,7,0,0,3,29,46,11,14,13,1,1,24,81,5
1908,3,39,96,15,5,1,3,4,1,14,83,118,7,4,7,6,0,0,3,126,18,13,5,1,2,0,2,16,3,1,0,3,23,9,39,52,6,0,0,5,117,11,30,14,8,40,69,122,7,0,1,9,81,144,64,21,2,0,1,1,12,21,6,9,55,8,7,9,4,0,0,2,144,54,1,3,26,13,8,38,39,13,1,4,144,117,9,8,1,0,0,0,55,38,12,7,23,12,1,0,9,6,0,0,144,103,0,1,6,2,0,0,56,29,0,1,144,78,0,0,2,1,3,2,78,36,2,3
1909,37,9,5,4,1,1,1,5,149,5,1,2,9,1,0,14,61,1,0,10,149,11,0,5,2,0,0,3,102,7,0,1,40,17,12,3,0,0,0,1,149,51,9,10,18,2,1,46,50,10,8,100,149,4,1,16,1,0,0,19,90,4,3,2,16,13,4,6,1,0,4,5,112,149,55,24,4,0,6,18,10,35,63,149,97,14,18,6,1,0,0,13,22,5,31,26,3,0,0,0,0,0,17,60,6,8,4,1,0,1,65,135,1,2,6,7,4,72,107,29,10,5,1,0,2,35,53,40
1910,85,10,0,1,17,4,0,2,169,14,0,0,0,0,0,48,71,1,5,37,15,1,1,39,0,7,19,23,22,15,3,2,70,15,0,0,31,40,6,7,169,38,0,2,4,0,1,16,90,3,7,71,99,2,0,7,3,34,44,35,23,3,2,3,46,0,0,0,76,62,8,32,169,3,0,3,11,2,2,109,63,2,1,24,125,24,1,11,2,3,3,9,34,20,6,6,48,0,0,0,69,40,10,54,169,4,1,7,21,1,2,140,12,1,0,22,89,7,1,10,0,0,0,7,47,10,0,0
1911,23,19,5,1,2,1,1,1,90,33,1,3,39,14,1,6,86,6,0,4,79,41,15,62,85,12,1,16,126,55,51,70,27,5,1,6,16,5,3,3,126,12,0,1,17,27,5,29,123,10,0,0,72,89,6,15,126,20,1,9,126,36,1,5,27,8,7,1,5,4,2,6,126,29,1,2,14,6,1,13,73,34,3,14,126,28,1,3,97,83,10,26,126,11,0,1,14,17,6,2,0,0,0,0,82,102,10,5,2,0,0,0,17,41,9,31,85,6,0,0,23,59,9,18,88,11,2,5
1912,23,48,97,5,0,1,4,3,19,98,61,1,3,13,5,1,11,22,14,1,2,11,19,21,9,9,2,12,9,4,5,10,28,49,155,15,1,7,3,1,155,144,65,1,0,0,4,40,56,27,11,2,14,24,30,33,10,43,10,2,10,9,12,9,61,5,7,2,10,146,25,7,155,57,1,0,1,6,2,21,103,26,1,5,33,22,12,15,6,6,2,2,13,10,33,43,17,1,0,0,71,155,8,5,155,54,0,0,18,32,2,5,130,29,7,11,2,5,3,3,3,12,13,14,1,2,4,8
1913,0,0,0,0,0,1,84,18,2,0,0,0,3,29,83,17,26,0,0,0,6,16,48,137,4,0,0,1,77,78,59,50,3,1,1,8,4,1,55,34,45,3,2,51,46,30,38,22,137,6,1,16,58,14,11,137,23,1,0,43,137,23,8,35,3,5,4,11,22,4,1,2,70,22,2,44,88,15,0,1,137,118,33,68,55,1,0,7,27,12,13,126,137,0,0,6,15,13,10,3,10,6,0,1,11,16,3,2,108,35,0,0,23,91,75,34,21,4,0,4,13,9,26,54,14,0,5,34
1914,39,14,3,2,2,1,9,26,140,2,0,0,0,0,2,140,60,6,1,3,1,1,12,80,8,6,8,27,38,21,2,5,119,30,2,3,1,0,0,4,140,19,1,2,2,1,4,109,34,4,5,58,53,9,22,62,2,0,15,61,17,5,23,47,101,26,0,0,0,3,7,9,140,122,5,4,2,0,1,33,44,30,9,34,39,17,62,46,15,0,0,5,6,8,45,109,28,2,0,0,0,20,113,52,140,12,0,0,0,1,13,140,54,3,0,0,2,15,33,85,9,1,2,1,4,19,21,23
1915,8,6,5,68,129,98,2,1,55,59,12,8,8,5,1,16,26,44,16,0,0,1,1,12,3,10,10,29,7,10,4,1,4,10,17,129,63,1,2,5,16,112,86,58,5,0,2,4,65,129,71,3,1,1,1,13,27,24,19,33,18,2,1,10,3,13,45,95,17,15,12,5,69,14,37,80,3,7,5,12,129,41,10,12,12,3,2,38,35,22,13,27,27,7,4,15,11,0,2,5,1,99,129,83,37,0,1,2,1,129,129,44,127,4,1,6,15,11,23,83,11,16,27,22,27,10,4,10
1916,0,0,1,3,4,9,2,0,40,3,1,3,2,5,1,17,123,1,0,10,15,1,0,123,33,0,0,81,123,4,1,39,0,0,6,12,35,35,5,2,81,12,5,8,1,1,15,26,123,61,35,89,29,1,5,75,18,2,10,123,123,2,3,21,0,0,1,22,67,30,95,43,15,3,1,1,0,1,123,123,28,28,24,34,13,93,120,42,13,1,6,38,18,45,91,54,6,7,1,2,3,14,123,37,3,3,2,0,1,21,83,57,1,3,4,1,10,58,47,9,12,6,4,1,7,53,42,22
1917,15,136,14,0,0,42,28,4,1,93,14,3,21,136,40,0,34,51,4,3,34,136,13,22,94,57,10,4,3,5,8,31,3,135,39,0,0,1,1,1,8,136,136,26,31,36,1,0,72,21,52,32,60,52,34,96,34,5,2,2,1,2,53,104,1,6,6,1,5,5,6,7,53,29,34,2,10,5,1,2,136,55,12,3,0,0,2,30,46,11,2,6,1,1,8,40,0,0,0,0,3,5,38,34,25,3,0,0,8,48,91,34,136,25,1,0,1,10,9,62,43,7,13,5,0,0,7,40
1918,1,8,24,11,2,18,58,1,1,4,18,62,128,61,35,3,8,41,57,28,93,17,52,65,10,72,70,0,0,44,51,15,0,3,26,35,16,5,0,0,29,3,17,128,128,32,2,7,128,37,10,30,46,33,74,128,30,17,22,16,19,128,128,39,4,0,0,4,12,13,3,10,18,0,0,4,100,128,26,26,128,45,16,7,13,38,28,105,18,30,59,32,12,33,21,5,24,4,2,1,2,2,1,14,7,2,1,4,41,40,10,15,39,15,3,1,4,11,10,44,4,4,11,1,0,16,16,3
1919,16,41,38,124,59,0,0,0,182,119,16,4,1,3,3,4,33,4,0,0,37,37,5,4,0,0,1,2,24,19,2,0,59,16,5,76,105,0,0,1,182,39,2,2,3,3,1,30,74,3,0,4,79,30,3,16,1,0,0,1,24,20,15,2,75,3,0,24,88,1,0,3,182,21,1,2,5,1,0,13,81,9,1,22,91,11,1,7,5,0,0,9,16,4,4,20,60,3,0,17,40,0,0,4,182,5,0,1,4,2,0,34,69,1,1,7,79,19,2,14,17,0,0,1,13,5,4,25
1920,68,12,1,21,95,1,0,0,192,54,1,2,9,3,1,5,38,8,1,11,74,16,1,4,5,0,0,3,8,5,6,13,62,10,0,16,102,1,0,1,192,52,0,1,7,4,1,5,91,6,1,5,93,35,3,10,23,0,0,2,18,8,5,30,63,2,0,19,72,0,0,6,192,16,2,8,5,1,0,32,95,17,9,63,58,7,0,4,35,11,2,6,24,2,0,5,70,2,0,13,40,0,0,9,192,2,1,6,13,6,2,71,52,12,6,37,57,14,2,12,48,13,2,2,14,5,2,13
1921,57,12,0,2,18,6,0,3,41,1,0,4,67,29,3,19,131,16,1,15,40,11,20,72,3,2,1,40,147,33,10,5,108,3,0,1,11,13,3,24,50,2,0,0,78,57,3,9,147,16,1,7,68,13,1,8,6,1,0,15,147,29,0,1,123,9,0,1,11,3,1,10,38,8,0,4,116,22,0,3,147,41,2,8,70,8,1,7,8,4,1,22,147,11,0,1,64,28,3,4,3,0,0,1,10,13,4,24,79,1,0,0,55,79,6,17,46,1,0,0,5,12,4,32,147,5,0,0
1922,26,2,1,0,0,0,0,8,108,0,0,0,0,0,0,53,170,0,0,0,0,0,0,119,58,0,0,0,0,0,0,51,59,3,0,0,0,0,0,3,170,4,0,0,0,0,0,16,170,3,0,0,0,0,0,36,70,0,0,0,0,0,0,13,65,3,0,0,0,0,0,1,170,4,0,0,0,0,0,11,170,1,0,0,0,0,0,18,67,0,0,0,0,0,0,4,42,6,0,0,0,0,0,2,170,10,0,0,0,0,0,5,170,4,0,0,0,0,0,6,50,1,0,0,0,0,0,3
1923,0,0,1,15,5,14,119,19,38,0,0,0,0,7,75,111,88,0,0,0,0,13,85,126,16,6,0,0,0,103,126,19,0,0,0,0,0,45,126,62,59,2,0,0,2,126,96,25,126,41,0,0,0,13,24,62,36,37,2,0,0,84,79,13,3,1,2,13,13,46,103,73,8,0,0,12,26,126,86,14,103,39,8,2,3,23,50,53,17,95,47,4,1,2,3,1,3,4,13,53,8,1,1,6,0,0,6,44,23,9,3,0,1,5,8,15,13,6,4,2,6,24,19,11,9,1,0,0
1924,117,56,1,5,15,5,0,0,4,3,3,26,105,27,1,0,1,2,3,11,31,12,9,7,1,0,0,1,1,20,17,4,128,89,43,48,6,0,0,0,11,22,78,128,35,1,0,0,83,63,42,31,6,2,9,16,10,1,0,0,0,13,44,16,20,96,128,56,0,0,0,0,67,35,97,128,0,0,0,8,128,75,11,6,0,0,5,40,34,31,18,2,1,12,49,22,1,45,108,3,0,0,1,1,48,128,29,3,0,0,0,1,70,128,29,0,0,0,0,4,28,106,55,2,1,2,7,23
1925,2,3,1,0,0,4,11,3,1,1,3,7,14,50,17,1,7,1,2,4,22,125,108,27,2,6,4,2,3,103,126,14,2,3,1,13,8,1,4,9,13,10,23,83,23,3,2,8,126,35,19,11,2,5,36,68,36,14,34,65,36,72,103,36,2,0,6,90,9,1,1,9,21,2,3,58,25,1,11,112,84,20,26,85,12,0,6,104,12,14,121,126,18,1,1,1,9,1,12,56,0,0,1,74,19,0,1,29,19,1,6,126,2,0,1,126,71,3,6,27,0,0,6,92,37,29,63,12
1926,0,0,0,10,9,34,97,10,31,13,1,1,3,19,117,127,49,35,7,12,17,18,93,127,1,1,2,53,127,92,40,7,1,1,1,3,9,7,20,14,26,58,18,29,44,11,13,10,68,127,39,42,33,1,0,7,2,6,11,122,127,14,4,3,6,3,3,2,12,5,1,4,27,8,3,10,96,32,1,8,127,29,3,4,46,11,0,17,14,2,1,5,127,52,7,12,15,4,0,2,10,1,0,2,22,4,1,14,95,4,0,1,127,13,0,2,24,9,1,9,22,1,0,0,121,59,1,4
1927,125,39,27,50,79,12,1,23,51,36,12,64,110,7,0,2,48,24,2,6,76,20,0,3,3,1,1,0,41,24,3,1,58,125,125,77,10,0,0,1,125,51,63,73,13,0,0,17,75,13,34,40,43,9,0,11,0,1,4,15,46,19,3,0,54,125,26,0,0,0,1,1,95,125,86,2,0,0,0,2,54,65,125,26,2,0,0,15,22,10,10,7,5,14,12,21,11,31,1,0,0,14,81,14,58,101,19,0,0,14,23,6,125,50,11,0,0,0,1,30,47,15,2,1,2,14,13,27
1928,4,9,70,17,0,0,65,52,1,2,103,56,0,1,56,26,0,0,77,76,0,1,48,37,0,0,46,33,0,0,61,83,20,25,133,26,1,0,0,2,120,24,89,25,0,0,20,114,21,2,11,9,0,0,133,133,1,1,1,0,0,0,91,113,57,14,13,2,12,5,0,10,133,35,1,0,0,0,1,67,111,16,1,0,0,0,9,42,4,7,5,0,0,0,3,6,62,0,0,2,13,1,0,68,133,1,0,0,0,0,0,133,46,1,0,0,0,0,0,31,6,1,0,0,0,0,0,4
1929,31,20,7,0,0,0,5,21,119,26,18,0,0,0,0,8,188,14,0,0,0,0,0,8,36,0,0,0,0,1,0,1,4,42,19,3,0,0,1,2,150,70,4,0,0,0,0,4,188,30,0,0,0,0,0,9,46,0,0,0,0,2,0,3,12,12,4,0,0,0,0,22,188,22,1,0,0,0,0,37,188,3,0,0,0,0,0,36,41,0,0,0,0,2,1,4,5,0,0,0,0,0,4,43,154,1,0,0,0,0,7,36,188,1,0,0,0,0,0,16,30,0,0,0,0,1,1,2
1930,22,4,0,0,27,123,107,33,123,18,1,0,9,47,20,69,118,12,2,1,2,7,12,83,3,2,1,4,20,32,6,6,91,2,1,15,123,123,25,33,69,2,0,2,53,78,95,123,46,9,11,12,64,48,70,79,1,3,19,42,25,5,1,0,40,12,18,71,101,8,1,10,123,26,3,19,50,11,8,53,32,12,4,56,123,20,10,11,0,0,3,11,35,20,7,2,12,10,19,18,14,2,2,5,103,5,2,13,26,2,1,38,12,3,2,46,94,2,1,4,2,0,0,2,19,8,2,2
